City ID,City Name,Country Code,Latitude,Longitude,Temperature(°F),Humidity(%),Cloudiness(%),Wind Speed (mph)
3985710,Cabo San Lucas,MX,22.89,-109.91,69.3,100,44,3.94
6138501,Saint-Augustin,CA,45.63,-73.98,22.42,57,90,4.7
1651531,Ambon,ID,-3.7,128.18,75.2,94,40,9.17
3893656,Copiapo,CL,-27.37,-70.33,75.2,53,0,10.29
6071421,Meadow Lake,CA,54.13,-108.44,17.6,67,75,12.75
1519928,Qostanay,KZ,53.17,63.58,1.4,91,0,6.71
1255619,Srivardhan,IN,18.03,73.02,68.35,93,12,2.59
3652567,San Cristobal,EC,-1.02,-79.44,64.3,100,88,2.93
324496,Aksaray,TR,38.37,34.03,46.4,70,40,5.82
107304,Buraydah,SA,26.33,43.97,71.6,35,0,6.93
3996234,Lazaro Cardenas,MX,28.39,-105.62,69.8,14,75,13.87
6160806,Sylvan Lake,CA,52.31,-114.09,17.6,78,75,8.05
1244926,Hambantota,LK,6.12,81.12,77.71,100,24,13.56
1242110,Kalmunai,LK,7.42,81.82,74.56,100,88,3.94
3374120,Vila do Maio,CV,15.13,-23.22,69.8,64,75,16.11
2629833,Husavik,IS,66.04,-17.34,30.2,74,20,20.8
3404558,Cabedelo,BR,-6.97,-34.84,84.2,70,75,10.29
1047660,Cuamba,MZ,-14.8,36.54,71.55,84,64,2.15
2121385,Severo-Kurilsk,RU,50.68,156.12,19.62,100,8,19.26
3115824,Muros,ES,42.77,-9.06,44.6,65,0,8.05
1278149,Aurangabad,IN,19.87,75.33,63.76,57,8,4.05
1626542,Sorong,ID,-0.86,131.25,82.03,100,0,4.83
484670,Taman,RU,45.22,36.72,33.8,100,80,17.9
3148138,Larkollen,NO,59.33,10.67,21.27,92,36,3.36
361058,Alexandria,EG,31.2,29.89,61.57,77,0,6.93
3353934,Otavi,NA,-19.64,17.34,64.39,89,48,4.16
769274,Ketrzyn,PL,54.08,21.38,10.57,80,0,7.63
1587923,Bien Hoa,VN,10.95,106.82,77.0,88,40,1.12
100926,Umm Lajj,SA,25.02,37.27,70.92,77,92,6.85
3372472,Vila Franca do Campo,PT,37.72,-25.43,60.8,87,40,6.93
6690296,Saint-Joseph,RE,-21.37,55.62,76.19,83,0,5.82
3486270,Anaco,VE,9.43,-64.46,84.6,47,68,7.63
3374218,Santa Maria,CV,16.6,-22.9,70.61,46,40,12.75
6100799,Pemberton,CA,50.32,-122.8,24.8,49,20,3.36
6355222,Yulara,AU,-25.24,130.99,71.6,68,0,5.82
3412093,Vestmannaeyjar,IS,63.44,-20.27,39.69,81,88,27.76
779554,Honningsvag,NO,70.98,25.97,18.45,100,0,7.4
556268,Ostrovnoy,RU,68.05,39.51,10.39,87,76,9.19
6951112,Somerset West,ZA,-34.08,18.85,66.2,88,75,11.41
1580240,Hue,VN,16.47,107.58,73.4,100,75,6.93
2274895,Monrovia,LR,6.33,-10.8,84.2,74,40,3.36
3981460,Coahuayana,MX,18.62,-100.35,86.04,29,0,2.93
3430443,Necochea,AR,-38.55,-58.74,73.75,77,36,9.19
1272444,Doiwala,IN,30.18,78.12,52.06,80,8,3.15
3489657,Lucea,JM,18.44,-78.17,84.2,70,20,21.92
2394560,Djougou,BJ,9.71,1.67,79.2,66,24,3.15
2092164,Lorengau,PG,-2.02,147.27,83.34,99,0,3.71
3948613,Acari,PE,-15.44,-74.62,74.52,55,0,3.6
2282827,Oume,CI,6.38,-5.42,79.33,78,20,7.74
2137773,Vao,NC,-22.67,167.48,78.34,100,92,8.08
6171633,Ucluelet,CA,48.94,-125.55,37.4,59,20,3.36
1627877,Sembakung,ID,3.82,117.25,72.72,99,0,2.15
2435124,Bitkine,TD,11.98,18.21,79.74,31,8,7.07
2652513,Colwyn Bay,GB,53.29,-3.71,36.91,69,40,6.93
3377301,Mabaruma,GY,8.2,-59.78,73.66,100,92,4.94
2037391,Fengzhen,CN,40.43,113.15,5.8,57,0,4.16
2399371,Makokou,GA,0.56,12.85,73.89,95,48,2.15
3347019,Namibe,AO,-15.19,12.15,76.63,100,8,6.62
6320062,Vila Velha,BR,-3.71,-38.6,80.6,78,75,3.36
342711,Barentu,ER,15.11,37.59,62.77,47,0,3.15
2399001,Mayumba,GA,-3.44,10.65,79.15,100,76,4.83
2396853,Omboue,GA,-1.57,9.26,82.39,100,64,7.74
3441684,Mercedes,UY,-33.25,-58.03,78.84,44,0,9.42
5884260,Altona,CA,49.1,-97.56,13.95,67,1,8.05
1809879,Guangshui,CN,31.62,113.82,32.49,93,0,5.17
3448903,Sao Joao da Barra,BR,-21.64,-41.05,82.4,69,75,13.87
610298,Beyneu,KZ,45.32,55.19,27.94,92,88,5.61
3095795,Kolobrzeg,PL,54.18,15.58,14.04,100,0,8.08
5871146,Palmer,US,61.6,-149.11,23.32,92,90,2.15
3651694,San Lorenzo,EC,1.29,-78.84,76.36,100,64,2.93
1280849,Kashi,CN,39.45,75.98,33.8,55,8,8.95
2267254,Lagoa,PT,37.14,-8.45,55.4,71,0,4.7
3915350,San Miguel,BO,-10.85,-65.44,74.79,100,100,3.38
3691954,Sechura,PE,-5.56,-80.82,81.13,61,0,13.56
2400547,Gamba,GA,-2.72,10.02,80.77,100,48,6.73
1611197,Chiang Khong,TH,20.26,100.4,69.8,100,75,2.71
1503153,Klyuchi,RU,52.25,79.17,5.67,75,8,9.64
2235194,Bafia,CM,4.74,11.22,76.32,75,0,5.61
3673690,Nuqui,CO,5.71,-77.27,80.23,96,8,4.72
2136825,Isangel,VU,-19.55,169.27,80.64,100,56,8.3
2018116,Orel,RU,43.17,133.26,5.94,71,24,3.27
2191562,Dunedin,NZ,-45.87,170.5,56.79,80,0,7.52
2618795,Klaksvik,FO,62.23,-6.59,44.6,93,92,21.92
3860443,Comodoro Rivadavia,AR,-45.87,-67.48,68.0,45,0,13.87
762850,Ostrow Mazowiecka,PL,52.8,21.9,21.6,62,76,10.2
2142316,Yeppoon,AU,-23.13,150.74,73.4,94,90,6.93
2347266,Uga,NG,7.28,8.67,81.04,74,68,8.41
1185148,Patiya,BD,22.3,91.98,69.57,98,0,3.71
2644605,Lerwick,GB,60.15,-1.15,41.9,75,88,17.22
515873,Oktyabrskiy,RU,55.61,37.97,5.04,84,20,2.24
2294768,Tarkwa,GH,5.31,-1.99,79.92,75,44,7.63
2303611,Axim,GH,4.87,-2.24,81.31,99,100,12.21
5861897,Fairbanks,US,64.84,-147.72,26.04,100,90,3.36
3421982,Maniitsoq,GL,65.42,-52.9,-11.17,100,32,6.73
3388618,Sao Joao do Piaui,BR,-8.36,-42.25,74.92,93,12,3.38
1498920,Mezhdurechensk,RU,53.69,88.07,14.49,74,68,6.17
2662689,Visby,SE,57.64,18.3,24.8,79,75,8.05
1511381,Aromashevo,RU,56.86,68.64,10.21,81,48,8.52
2396518,Port-Gentil,GA,-0.72,8.78,86.0,74,75,4.7
1233369,Negombo,LK,7.21,79.83,75.2,83,5,4.7
2331005,Malumfashi,NG,11.79,7.62,79.24,56,12,2.93
779683,Hammerfest,NO,70.66,23.68,23.74,78,0,13.67
217745,Bumba,CD,2.18,22.47,72.67,92,24,3.94
2206890,Masterton,NZ,-40.95,175.66,57.1,90,0,4.16
5836068,Rawlins,US,41.79,-107.24,17.01,78,90,4.38
1805733,Jinchang,CN,38.52,102.19,6.34,51,0,7.63
1293625,Dawei,MM,14.07,98.19,72.4,97,0,2.15
5468773,Gallup,US,35.53,-108.74,32.0,63,75,21.92
292223,Dubai,AE,25.27,55.3,73.33,60,0,9.17
3928993,San Vicente de Canete,PE,-13.08,-76.38,72.9,71,0,3.71
2383119,Sibut,CF,5.73,19.09,79.6,71,76,3.49
1253807,Umred,IN,20.85,79.32,75.2,50,0,2.04
3372745,Rabo de Peixe,PT,37.8,-25.58,60.8,87,40,6.93
2209055,Waddan,LY,29.16,16.14,48.28,42,36,3.6
2068655,Katherine,AU,-14.47,132.26,78.8,88,90,10.29
3033881,Begles,FR,44.81,-0.55,40.19,60,0,6.93
1090415,Chirongui,YT,-12.93,45.15,80.6,83,36,3.36
5039421,Sunrise,US,45.55,-92.86,25.14,53,90,3.36
6071618,Medicine Hat,CA,50.04,-110.68,6.8,71,90,12.75
2160735,Lakes Entrance,AU,-37.88,147.99,67.59,92,76,2.93
5640350,Billings,US,45.79,-108.5,12.2,61,20,4.7
2867431,Murrhardt,DE,48.98,9.58,29.25,69,75,18.34
978895,Margate,ZA,-30.86,30.37,74.83,93,0,19.71
2028164,Deputatskiy,RU,69.3,139.9,-31.19,50,24,2.71
2013216,Vysokogornyy,RU,50.1,139.13,-19.22,52,8,2.71
2270385,Camacha,PT,33.08,-16.33,59.79,59,75,5.82
3438102,Fuerte Olimpo,PY,-21.04,-57.87,87.34,54,0,10.76
1859964,Kaseda,JP,31.42,130.32,49.63,100,0,15.46
3836669,San Rafael,AR,-34.61,-68.33,84.6,27,0,10.2
1264976,Leh,IN,34.16,77.58,-4.96,81,76,1.59
1505429,Iskitim,RU,54.64,83.3,6.8,77,0,6.71
4078964,Muscle Shoals,US,34.75,-87.67,70.38,66,1,5.82
609919,Kuryk,KZ,43.18,51.68,32.53,100,32,6.17
1488903,Turukhansk,RU,65.8,87.96,-22.87,34,56,3.27
2244991,Tambacounda,SN,13.77,-13.67,95.0,20,0,4.7
3526756,Isla Mujeres,MX,21.23,-86.73,73.4,94,90,8.05
2128815,Makubetsu,JP,42.84,143.34,23.8,93,0,12.44
712041,Blyznyuky,UA,48.86,36.56,20.29,74,88,11.77
3454005,Piacabucu,BR,-10.41,-36.43,83.29,63,32,11.99
3515690,Progreso,MX,20.25,-99.19,70.29,56,24,6.4
3924908,Pimenta Bueno,BR,-11.68,-61.19,74.65,97,92,2.71
1337607,Kudahuvadhoo,MV,2.67,72.89,82.17,100,20,13.78
3158668,Eidfjord,NO,60.47,7.07,1.39,63,44,1.36
3459126,Lagoa Vermelha,BR,-28.21,-51.53,72.13,60,0,10.42
3837675,San Francisco,AR,-31.43,-62.08,86.53,34,0,6.51
2152668,Portland,AU,-33.35,149.98,56.52,91,68,3.04
3899695,Ancud,CL,-41.87,-73.83,62.64,69,68,4.72
1028434,Quelimane,MZ,-17.88,36.89,80.6,83,0,3.36
605155,Kiruna,SE,67.86,20.23,3.2,84,75,4.38
2122104,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,3.2,84,75,4.47
3671450,Inirida,CO,3.87,-67.92,92.47,46,0,2.71
3449747,Santa Vitoria do Palmar,BR,-33.52,-53.37,72.99,76,24,15.46
5924351,Clyde River,CA,70.47,-68.59,-11.21,57,75,14.99
1272983,Dhanaura,IN,28.96,78.26,61.6,70,0,2.82
2032614,Baruun-Urt,MN,46.68,113.28,-2.57,65,44,5.73
2161515,Kiama,AU,-34.67,150.86,60.8,100,0,5.73
8010683,Porto Santo,PT,33.07,-16.34,59.79,59,75,5.82
1495385,Pelym,RU,61.01,62.0,-2.93,74,44,4.38
1793700,Taicheng,CN,22.25,112.8,52.2,100,92,5.39
2037485,Erenhot,CN,43.65,111.97,5.08,76,36,7.74
3389822,Salinopolis,BR,-0.61,-47.36,78.57,100,76,6.29
1314759,Lashio,MM,22.93,97.75,53.1,85,0,1.92
1861280,Itoman,JP,26.12,127.67,60.75,77,75,12.75
726307,Tran,BG,42.84,22.65,39.2,93,90,10.29
1861450,Ise,JP,34.5,136.72,37.4,69,20,12.75
4011743,Constitucion,MX,23.99,-104.67,68.0,30,75,5.82
1853140,Yuza,JP,39.05,139.95,26.82,100,56,8.75
5909514,Brooks,CA,50.57,-111.89,14.44,89,24,4.16
6050066,La Ronge,CA,55.1,-105.3,17.6,61,40,18.34
3461733,Guiratinga,BR,-16.35,-53.76,80.32,82,12,4.5
471799,Vasilsursk,RU,56.13,46.01,0.49,74,24,4.38
2274275,Robertsport,LR,6.75,-11.37,79.65,100,88,11.43
2177091,Ballarat,AU,-37.56,143.86,72.99,50,92,8.75
5000947,Marquette,US,46.54,-87.4,27.57,53,75,9.17
3405924,Beberibe,BR,-4.18,-38.13,80.6,78,75,3.36
2122493,Omsukchan,RU,62.53,155.8,-15.22,83,68,2.59
2177069,Ballina,AU,-28.87,153.57,71.86,100,100,13.0
3493081,San Juan de la Maguana,DO,18.81,-71.23,86.0,55,20,20.8
1185095,Teknaf,BD,20.86,92.31,64.62,95,0,2.82
1133310,Mirabad,AF,30.44,61.84,56.7,68,92,9.42
3397893,Sao Sebastiao,BR,-3.15,-58.36,84.2,79,20,9.17
2108502,Honiara,SB,-9.43,159.96,75.2,100,20,3.36
3038266,Albertville,FR,45.68,6.39,31.95,74,90,8.05
2021992,Klichka,RU,50.44,118.0,-20.39,27,8,3.38
2122414,Orotukan,RU,62.26,151.67,-22.64,63,36,2.71
541631,Krasnyy Luch,RU,55.97,38.97,-2.17,72,56,3.04
217695,Bunia,CD,1.56,30.25,62.05,92,56,2.71
1498919,Lugovoy,RU,59.72,65.88,-2.93,75,0,6.17
2015179,Tommot,RU,58.97,126.27,-20.3,55,44,2.48
5889745,Hauterive,CA,49.18,-68.27,18.36,41,1,12.75
2082539,Merauke,ID,-8.49,140.4,76.14,100,24,10.76
4285268,Bowling Green,US,36.99,-86.44,57.2,100,90,3.38
5380437,Pacific Grove,US,36.62,-121.92,51.8,50,20,10.29
2027042,Batagay-Alyta,RU,67.8,130.41,-35.56,62,8,2.71
1299237,Pyapon,MM,16.29,95.68,72.76,92,0,7.96
1734240,Labuan,MY,5.33,115.2,77.9,94,75,1.36
3168075,San Marco in Lamis,IT,41.71,15.64,51.07,100,92,14.56
1490256,Talnakh,RU,69.49,88.39,-30.29,50,8,3.94
2134814,Sola,VU,-13.88,167.55,86.22,85,92,4.38
3424934,Saint-Pierre,PM,46.77,-56.17,24.8,53,20,14.99
3440777,Rocha,UY,-34.48,-54.34,73.75,52,0,11.65
779622,Havoysund,NO,71.0,24.66,17.6,78,0,9.19
900056,Nyimba,ZM,-14.56,30.81,74.79,87,12,1.81
5670128,Orchard Homes,US,46.86,-114.05,19.4,62,20,6.93
2025630,Chara,RU,56.9,118.26,-19.85,74,24,1.7
1516905,Taraz,KZ,42.89,71.39,30.2,100,0,2.24
1058381,Morondava,MG,-20.3,44.28,78.61,100,44,2.37
933383,Mathathane,BW,-22.27,28.75,67.14,96,92,7.96
6144312,Sept-Iles,CA,50.2,-66.38,14.0,43,75,12.75
3661980,Tamandare,BR,-8.28,-70.75,81.31,100,24,2.37
2267226,Lagos,PT,37.1,-8.67,55.4,71,0,4.7
4032369,Pangai,TO,-19.8,-174.35,80.6,83,40,9.17
88533,Awjilah,LY,29.14,21.3,59.67,60,24,7.96
1516438,Zyryanovsk,KZ,49.74,84.27,17.19,87,88,2.15
541704,Krasnyy Kholm,RU,58.06,37.11,3.24,74,20,8.52
2034615,Tahe,CN,52.34,124.71,-17.87,49,24,3.15
331259,Mega,ET,4.06,38.32,58.77,90,32,2.71
2031405,Erdenet,MN,49.03,104.04,2.47,83,64,2.93
1337610,Thinadhoo,MV,0.53,72.93,82.66,100,8,13.33
934479,Grand Gaube,MU,-20.01,57.66,77.0,94,75,4.27
3445304,Vera Cruz,BR,-22.22,-49.82,84.42,56,12,5.84
3603157,Puerto Lempira,HN,15.27,-83.77,71.68,100,92,7.96
3827693,La Macarena,CO,2.18,-73.79,94.54,27,0,3.71
5554428,Ketchikan,US,55.34,-131.65,35.6,80,90,9.17
5367788,Lompoc,US,34.64,-120.46,55.42,87,40,9.17
2444995,Filingue,NE,14.35,3.32,81.22,31,0,9.86
1631393,Kemang,ID,-3.35,104.34,71.1,99,92,4.16
777682,Skjervoy,NO,70.03,20.97,18.63,79,75,8.19
3893629,Coquimbo,CL,-29.95,-71.34,69.8,68,20,14.99
3869716,Tocopilla,CL,-22.09,-70.2,72.31,73,0,7.07
5813747,Toppenish,US,46.38,-120.31,30.2,50,40,3.36
3573374,The Valley,AI,18.22,-63.06,81.54,51,40,18.34
3833367,Ushuaia,AR,-54.81,-68.31,56.61,62,20,21.92
2181625,Te Anau,NZ,-45.41,167.72,52.78,81,0,3.6
504341,Pskov,RU,57.82,28.33,-4.01,83,44,2.24
3372760,Praia da Vitoria,PT,38.73,-27.07,60.8,87,20,10.2
2012956,Yerbogachen,RU,61.28,108.01,-9.91,67,56,2.82
1491519,Goryachegorsk,RU,55.41,88.92,11.56,71,20,10.98
2961459,Skibbereen,IE,51.55,-9.27,41.0,86,75,11.41
3573061,Saint George,BM,32.38,-64.68,69.8,60,75,5.82
962367,Richards Bay,ZA,-28.77,32.06,71.64,87,88,6.4
3569907,Saint-Pierre,MQ,14.74,-61.18,80.6,61,40,19.46
1486321,Yar-Sale,RU,66.83,70.83,-19.72,87,36,12.77
4409896,Springfield,US,37.22,-93.29,41.0,93,90,4.7
2685750,Ostersund,SE,63.18,14.64,19.4,92,90,3.36
2160413,Leeton,AU,-34.55,146.4,73.75,42,100,9.53
3604518,Naco,HN,15.38,-88.18,85.03,62,40,9.17
5886182,Antigonish,CA,45.62,-61.99,17.6,72,90,13.87
6255012,Flinders,AU,-34.58,150.85,60.8,100,0,5.73
1865309,Katsuura,JP,33.93,134.5,31.14,94,0,6.51
1256047,Sirsi,IN,14.62,74.84,68.04,57,0,6.4
5711847,Astoria,US,46.19,-123.83,35.6,64,1,14.99
2409215,Mattru,SL,7.62,-11.83,82.75,50,8,7.74
5855927,Hilo,US,19.71,-155.08,63.52,82,75,9.17
7671223,Kloulklubed,PW,7.04,134.26,77.0,88,90,8.05
3393922,Nisia Floresta,BR,-6.09,-35.21,78.34,89,68,6.62
3877918,Ovalle,CL,-30.6,-71.2,71.68,82,20,3.83
2094027,Kieta,PG,-6.22,155.63,80.23,97,0,1.92
